gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
HP1BP3,CD4T,0.0,0.0,0.4023794699999999,medium,UC_inflamed,Colitis_inflamed,45826073.0,6.253791701959165e-128,9331,11747,3.178204965605944e-126
HP1BP3,CD4T,0.0,0.0,0.4023794699999999,medium,UC_inflamed,CD_inflamed,8196856.5,3.8746186074678826e-93,9331,2268,1.1696482225542689e-91
HP1BP3,CD4T,0.0,0.0,0.4023794699999999,medium,UC_inflamed,UC_non_inflamed,37073829.0,3.361975174311181e-22,9331,7476,1.8376530743375507e-21
HP1BP3,CD4T,0.0,0.0,0.4023794699999999,medium,UC_inflamed,Healthy,64156113.0,4.389148705035816e-15,9331,14440,1.8068873468112223e-14
PNRC2,CD4T,0.0,0.0,0.6987529650000001,high,UC_inflamed,Colitis_inflamed,42801186.0,1.5078584041544418e-255,9331,11747,2.77215292224969e-253
PNRC2,CD4T,0.0,0.0,0.6987529650000001,high,UC_inflamed,CD_inflamed,7013771.0,8.181806276281265e-246,9331,2268,1.3855729766509966e-243
PNRC2,CD4T,0.0,0.0,0.6987529650000001,high,UC_inflamed,UC_non_inflamed,40125648.5,3.539562241736921e-227,9331,7476,5.135554045330912e-225
PNRC2,CD4T,0.0,0.0,0.6987529650000001,high,UC_inflamed,Healthy,61846335.0,7.289618394380377e-50,9331,14440,9.126189695389925e-49
SRSF10,CD4T,0.0,0.0,0.78863452,high,UC_inflamed,Colitis_inflamed,40891932.5,4.8568344735940975e-284,9331,11747,1.1047926440287138e-281
SRSF10,CD4T,0.0,0.0,0.78863452,high,UC_inflamed,CD_inflamed,6949617.0,1.7289287382574175e-205,9331,2268,2.0810461382388418e-203
SRSF10,CD4T,0.0,0.0,0.78863452,high,UC_inflamed,UC_non_inflamed,40471687.0,2.1801789381312076e-159,9331,7476,1.6538757323882758e-157
SRSF10,CD4T,0.0,0.0,0.78863452,high,UC_inflamed,Healthy,63977962.5,1.207509048566759e-16,9331,14440,5.314821871322124e-16
CD52,CD4T,0.0,0.0,0.5158358000000001,high,UC_inflamed,Colitis_inflamed,64874551.5,5.6900762020568836e-117,9331,11747,2.4976472399598284e-115
CD52,CD4T,0.0,0.0,0.5158358000000001,high,UC_inflamed,UC_non_inflamed,29864461.5,4.744322776762408e-58,9331,7476,7.217770481745567e-57
CD52,CD4T,0.0,0.0,0.5158358000000001,high,UC_inflamed,CD_inflamed,11995879.5,3.9966434597573866e-23,9331,2268,2.2594847797027666e-22
CD52,CD4T,0.0,0.0,0.5158358000000001,high,UC_inflamed,Healthy,64665441.5,1.6085440098715836e-07,9331,14440,4.498281173638106e-07
EPB41,CD4T,0.0,0.0,0.35841012,medium,UC_inflamed,Colitis_inflamed,45569591.0,7.468612806859127e-166,9331,11747,6.080991367768767e-164
EPB41,CD4T,0.0,0.0,0.35841012,medium,UC_inflamed,CD_inflamed,8560808.5,3.063576050695342e-90,9331,2268,8.794811461042511e-89
EPB41,CD4T,0.0,0.0,0.35841012,medium,UC_inflamed,UC_non_inflamed,37251491.5,8.516983242479296e-39,9331,7476,7.987314496296648e-38
EPB41,CD4T,0.0,0.0,0.35841012,medium,UC_inflamed,Healthy,62992006.5,7.051241084682132e-34,9331,14440,5.71631116826768e-33
SFPQ,CD4T,0.0,0.0,0.6660149000000001,high,UC_inflamed,CD_inflamed,7664957.0,6.590956236917222e-110,9331,2268,2.590223284420494e-108
SFPQ,CD4T,0.0,0.0,0.6660149000000001,high,UC_inflamed,Colitis_inflamed,49429548.0,1.838420379072101e-40,9331,11747,1.7996450404179544e-39
SFPQ,CD4T,0.0,0.0,0.6660149000000001,high,UC_inflamed,UC_non_inflamed,38236869.5,1.0822443799528196e-36,9331,7476,9.545205771708742e-36
SFPQ,CD4T,0.0,0.0,0.6660149000000001,high,UC_inflamed,Healthy,70212169.0,2.625694537667639e-10,9331,14440,8.599949264635114e-10
JAK1,CD4T,0.0,0.0,0.5483997200000001,high,UC_inflamed,Colitis_inflamed,42124799.0,8.370379200200178e-213,9331,11747,1.0827707391102318e-210
JAK1,CD4T,0.0,0.0,0.5483997200000001,high,UC_inflamed,CD_inflamed,8002152.5,5.987454050652769e-91,9331,2268,1.739948529154869e-89
JAK1,CD4T,0.0,0.0,0.5483997200000001,high,UC_inflamed,UC_non_inflamed,37827833.5,9.839633851479835e-31,9331,7476,7.198805395815327e-30
JAK1,CD4T,0.0,0.0,0.5483997200000001,high,UC_inflamed,Healthy,63192561.5,3.1231518704427905e-20,9331,14440,1.5881018209611373e-19
DENND2D,CD4T,0.0,0.0,0.3940076,medium,UC_inflamed,Colitis_inflamed,44432061.5,5.448508589848125e-169,9331,11747,4.59174415695992e-167
DENND2D,CD4T,0.0,0.0,0.3940076,medium,UC_inflamed,CD_inflamed,8531372.5,1.2043439763836726e-71,9331,2268,2.4483665412344165e-70
DENND2D,CD4T,0.0,0.0,0.3940076,medium,UC_inflamed,Healthy,60384494.0,5.434063309732878e-62,9331,14440,9.006441247632808e-61
DENND2D,CD4T,0.0,0.0,0.3940076,medium,UC_inflamed,UC_non_inflamed,36793361.5,2.292460457627997e-17,9331,7476,1.0399728365426012e-16
C1orf56,CD4T,0.0,0.0,0.260877458,medium,UC_inflamed,Healthy,73557398.0,2.179360608760984e-218,9331,14440,2.959410000345333e-216
C1orf56,CD4T,0.0,0.0,0.260877458,medium,UC_inflamed,Colitis_inflamed,60038575.5,1.5173578690336367e-206,9331,11747,1.852695108475111e-204
C1orf56,CD4T,0.0,0.0,0.260877458,medium,UC_inflamed,CD_inflamed,11585440.5,2.0641447585896747e-46,9331,2268,2.3584995627589013e-45
C1orf56,CD4T,0.0,0.0,0.260877458,medium,UC_inflamed,UC_non_inflamed,33569214.0,1.9170189959999294e-13,9331,7476,7.327129041811957e-13
S100A6,CD4T,0.0,0.0,1.0097048,high,UC_inflamed,Colitis_inflamed,74128086.5,0.0,9331,11747,0.0
S100A6,CD4T,0.0,0.0,1.0097048,high,UC_inflamed,UC_non_inflamed,28648325.0,8.218655450792798e-90,9331,7476,2.3439250227557643e-88
S100A6,CD4T,0.0,0.0,1.0097048,high,UC_inflamed,CD_inflamed,12953419.5,2.608154916885217e-63,9331,2268,4.452913700459708e-62
S100A6,CD4T,0.0,0.0,1.0097048,high,UC_inflamed,Healthy,73934067.0,2.2209201300517343e-38,9331,14440,2.056218378527346e-37
RPS27,CD4T,0.0,0.0,0.9565658,high,UC_inflamed,Colitis_inflamed,77171158.0,0.0,9331,11747,0.0
RPS27,CD4T,0.0,0.0,0.9565658,high,UC_inflamed,CD_inflamed,16445610.5,0.0,9331,2268,0.0
RPS27,CD4T,0.0,0.0,0.9565658,high,UC_inflamed,Healthy,82623297.5,1.4055376730735174e-191,9331,14440,1.4833672493347966e-189
RPS27,CD4T,0.0,0.0,0.9565658,high,UC_inflamed,UC_non_inflamed,31690586.5,1.9607055205945424e-24,9331,7476,1.1653379491890285e-23
KRTCAP2,CD4T,0.0,0.0,0.5600942,high,UC_inflamed,Colitis_inflamed,41069369.5,3.1665726955432614e-263,9331,11747,6.181533728693846e-261
KRTCAP2,CD4T,0.0,0.0,0.5600942,high,UC_inflamed,CD_inflamed,7779273.5,1.3002147585112882e-116,9331,2268,5.680943756327807e-115
KRTCAP2,CD4T,0.0,0.0,0.5600942,high,UC_inflamed,Healthy,57518091.0,2.344829328910743e-107,9331,14440,8.889707236842636e-106
KRTCAP2,CD4T,0.0,0.0,0.5600942,high,UC_inflamed,UC_non_inflamed,38308713.5,4.1908654566264885e-48,9331,7476,5.018132950109264e-47
PRRC2C,CD4T,0.0,0.0,0.5511289400000001,high,UC_inflamed,CD_inflamed,8230904.5,2.064007421779731e-71,9331,2268,4.174935886430867e-70
PRRC2C,CD4T,0.0,0.0,0.5511289400000001,high,UC_inflamed,Colitis_inflamed,47749599.0,1.512179680861013e-66,9331,11747,2.781049875558595e-65
PRRC2C,CD4T,0.0,0.0,0.5511289400000001,high,UC_inflamed,UC_non_inflamed,38100675.0,4.3598672196912026e-33,9331,7476,3.4444768983628565e-32
PRRC2C,CD4T,0.0,0.0,0.5511289400000001,high,UC_inflamed,Healthy,70284522.5,1.427711366201167e-10,9331,14440,4.743819177361213e-10
RABGAP1L,CD4T,0.0,0.0,0.36050698,medium,UC_inflamed,Colitis_inflamed,47821746.5,1.023902097896417e-95,9331,11747,3.213787426743674e-94
RABGAP1L,CD4T,0.0,0.0,0.36050698,medium,UC_inflamed,CD_inflamed,8718138.5,5.643255775261135e-72,9331,2268,1.1539440612059489e-70
RABGAP1L,CD4T,0.0,0.0,0.36050698,medium,UC_inflamed,UC_non_inflamed,37967407.0,5.326226929238363e-60,9331,7476,8.452787218701599e-59
RABGAP1L,CD4T,0.0,0.0,0.36050698,medium,UC_inflamed,Healthy,63475900.0,1.334492689040912e-25,9331,14440,8.256628796390275e-25
PTPRC,CD4T,0.0,0.0,0.9445123,high,UC_inflamed,Colitis_inflamed,39188318.0,2.8903876788928586e-279,9331,11747,6.34192010470974e-277
PTPRC,CD4T,0.0,0.0,0.9445123,high,UC_inflamed,CD_inflamed,7580688.5,3.5868652649879243e-99,9331,2268,1.1883658731254995e-97
PTPRC,CD4T,0.0,0.0,0.9445123,high,UC_inflamed,UC_non_inflamed,41224710.0,2.929140971794829e-95,9331,7476,9.129826853252509e-94
PTPRC,CD4T,0.0,0.0,0.9445123,high,UC_inflamed,Healthy,61897647.0,8.242053434318775e-27,9331,14440,5.313356439024252e-26
CD55,CD4T,0.0,0.0,0.83228857,high,UC_inflamed,CD_inflamed,6985483.0,8.971178601138547e-228,9331,2268,1.3098896769840103e-225
CD55,CD4T,0.0,0.0,0.83228857,high,UC_inflamed,UC_non_inflamed,37861005.5,4.915581696636499e-49,9331,7476,6.041779991172311e-48
CD55,CD4T,0.0,0.0,0.83228857,high,UC_inflamed,Colitis_inflamed,51236839.0,2.0938789967153084e-27,9331,11747,1.3750018855086662e-26
CD55,CD4T,0.0,0.0,0.83228857,high,UC_inflamed,Healthy,69467950.0,1.944830450713798e-09,9331,14440,6.076533981714175e-09
LBH,CD4T,0.0,0.0,0.4647950999999999,medium,UC_inflamed,Colitis_inflamed,43300759.5,1.10029718343504e-180,9331,11747,1.0547789368584118e-178
LBH,CD4T,0.0,0.0,0.4647950999999999,medium,UC_inflamed,CD_inflamed,8813578.5,1.4277230203989505e-45,9331,2268,1.600214297691217e-44
LBH,CD4T,0.0,0.0,0.4647950999999999,medium,UC_inflamed,UC_non_inflamed,36920069.5,1.1336198881674748e-15,9331,7476,4.789964134576199e-15
LBH,CD4T,0.0,0.0,0.4647950999999999,medium,UC_inflamed,Healthy,63818626.0,1.5787357668299672e-15,9331,14440,6.630731392566599e-15
ZFP36L2,CD4T,0.0,0.0,0.8233388000000001,high,UC_inflamed,Colitis_inflamed,42552441.5,1.5083051918975051e-173,9331,11747,1.336888008558576e-171
ZFP36L2,CD4T,0.0,0.0,0.8233388000000001,high,UC_inflamed,CD_inflamed,7703571.5,7.941536378422626e-92,9331,2268,2.3407474995332433e-90
ZFP36L2,CD4T,0.0,0.0,0.8233388000000001,high,UC_inflamed,Healthy,57571508.5,1.0723909610869334e-81,9331,14440,2.6468745483992443e-80
ZFP36L2,CD4T,0.0,0.0,0.8233388000000001,high,UC_inflamed,UC_non_inflamed,37825174.5,9.180204874057425e-22,9331,7476,4.932514829408648e-21
RPS27A,CD4T,0.0,0.0,0.8691941999999999,high,UC_inflamed,CD_inflamed,15574722.0,4.8677203537138635e-267,9331,2268,9.811594029607231e-265
RPS27A,CD4T,0.0,0.0,0.8691941999999999,high,UC_inflamed,Colitis_inflamed,62792200.0,5.0379306762219386e-74,9331,11747,1.0711006407993968e-72
RPS27A,CD4T,0.0,0.0,0.8691941999999999,high,UC_inflamed,UC_non_inflamed,29928176.0,1.6666795130785445e-56,9331,7476,2.4406140714793558e-55
RPS27A,CD4T,0.0,0.0,0.8691941999999999,high,UC_inflamed,Healthy,72118266.5,3.8921668725222535e-20,9331,14440,1.9716704668460902e-19
REL,CD4T,0.0,0.0,0.76589608,high,UC_inflamed,CD_inflamed,7031160.0,3.368933663762489e-197,9331,2268,3.7392609686350726e-195
REL,CD4T,0.0,0.0,0.76589608,high,UC_inflamed,Colitis_inflamed,46242177.5,1.371492942664398e-117,9331,11747,6.083143443021244e-116
REL,CD4T,0.0,0.0,0.76589608,high,UC_inflamed,UC_non_inflamed,39068747.0,8.344279090144823e-84,9331,7476,2.1446634973951865e-82
REL,CD4T,0.0,0.0,0.76589608,high,UC_inflamed,Healthy,69476584.5,4.640393042103511e-08,9331,14440,1.3408484631670204e-07
PELI1,CD4T,0.0,0.0,0.38106474,medium,UC_inflamed,UC_non_inflamed,38752966.0,4.747304573202671e-118,9331,7476,2.1231696792954463e-116
PELI1,CD4T,0.0,0.0,0.38106474,medium,UC_inflamed,CD_inflamed,9018125.5,1.1990872244007653e-57,9331,2268,1.807328006455248e-56
PELI1,CD4T,0.0,0.0,0.38106474,medium,UC_inflamed,Colitis_inflamed,50011740.5,1.894972007017102e-53,9331,11747,2.5860964471663786e-52
PELI1,CD4T,0.0,0.0,0.38106474,medium,UC_inflamed,Healthy,69401735.5,7.307729259488958e-11,9331,14440,2.4660753441469627e-10
